title,original_title,studio,associate_studios,original_language,tmdb_release_date,IAD_release_date,genres,poster_path,IAD_link,tmdbUrl
Dragon Ball: Yo! Son Goku and His Friends Return!!,ドラゴンボール オッス!帰ってきた孫悟空と仲間たち!!,Toei Animation,"M.S.J. Musashino Production, Toei Animation Philippines, Kagura, Tripod",Japanese,2008-09-21,2008-09-21,"Action,Adventure,Science Fiction",/97jw5YTgPgFBuJAnM6LiqxSsx5X.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=63637,https://www.themoviedb.org/movie/38594
Next Avengers: Heroes of Tomorrow,Next Avengers: Heroes of Tomorrow,Marvel Animation,The Answerstudio,English,2008-09-02,2008-09-02,"Family,Action,Adventure,Science Fiction",/fpG1NDbcLV2a7c8X7LC4FPISBT7.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=54061,https://www.themoviedb.org/movie/14613
Fly Me to the Moon,Fly Me to the Moon,nWave Pictures,,English,2008-08-15,2008-01-30,"Adventure,Family",/p42h1Z488l6PBCKyQ12cZRhPLm.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=48451,https://www.themoviedb.org/movie/13956
Garfield's Fun Fest,Garfield's Fun Fest,The Animation Picture Company,,English,2008-08-30,2008-08-05,"Comedy,Family",/vsCHc3vb5xdS9nJ5YdFSY8p2ujO.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=72165,https://www.themoviedb.org/movie/26728
Star Wars: The Clone Wars,Star Wars: The Clone Wars,Lucasfilm Animation,,English,2008-08-05,2008-08-15,"Action,Science Fiction,Adventure",/iJQfixW818LUdSXlCDL3JZm0S0g.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=22902,https://www.themoviedb.org/movie/12180
Ponyo,崖の上のポニョ,Studio Ghibli,,Japanese,2008-07-19,2008-07-19,"Fantasy,Family",/yp8vEZflGynlEylxEesbYasc06i.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=20697,https://www.themoviedb.org/movie/12429
Presto,Presto,Pixar,,English,2008-06-27,2008-06-27,"Family,Comedy",/asmKQG2qhpVM1KD6x5kODAZPmZl.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=756,https://www.themoviedb.org/movie/13042
Space Chimps,Space Chimps,Vanguard Animation,Studiopolis,English,2008-06-25,2008-07-18,"Family,Adventure,Comedy,Science Fiction",/ecAKgzlt78OvEVpZURYYdSz8K5v.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=41489,https://www.themoviedb.org/movie/11802
Your Friend the Rat,Your Friend the Rat,Pixar,,English,2007-11-06,2007-11-06,Family,/a61VT01BuR6WEKB9HGiRgNZm29l.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=753,https://www.themoviedb.org/movie/13061
Beowulf,Beowulf,ImageMovers Digital,Sony Pictures Imageworks,English,2007-11-05,2007-11-16,"Adventure,Action",/7QsWYyJAV97N9jOh21pdRIqJeJq.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=50037,https://www.themoviedb.org/movie/2310
Tom and Jerry: A Nutcracker Tale,Tom and Jerry: A Nutcracker Tale,Warner Bros.,"Yearim Productions Co., Ltd.",English,2007-10-02,2007-10-02,"Comedy,Family",/q5cmiZHBLZBsDGCugyNUJiyxuJg.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=25097,https://www.themoviedb.org/movie/24696
Garfield Gets Real,Garfield Gets Real,The Animation Picture Company,,English,2007-09-30,2007-06-19,"Family,Comedy",/cRlJEevXbt183BYBhUw3cvldp7C.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=72164,https://www.themoviedb.org/movie/16460
Clannad: The Motion Picture,CLANNAD -クラナド-,Toei Animation,"Mushi Production, Tezuka Productions, Oh! Production, Studio Cats, Seigasha, M.S.J. Musashino Production, Toei Animation Philippines, Kagura, Studio MARK, Studio Ayumu, Athens Art Studio, Araki Production, Baku Production, Meruhen Company, Design Office Mecaman, Sanko Production, I&amp;S Factory, Beijing Xie Le Art Co., Ltd., Snowlight Staff, Studio Gashu",Japanese,2007-09-15,2007-09-15,"Drama,Romance",/crJYdKEriRiyimMr5TUHxNW0XP5.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=56361,https://www.themoviedb.org/movie/16516
"Chill Out, Scooby-Doo!","Chill Out, Scooby-Doo!",Warner Bros.,"Lotto Animation, Salami Studios",English,2007-08-31,2007-09-04,"Family,Comedy,Adventure,Mystery",/n1SgvnX4SJ6gZEpDSQEbcmQOslJ.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=44954,https://www.themoviedb.org/movie/13354
The ChubbChubbs Save Xmas,The ChubbChubbs Save Xmas,Sony Pictures Animation,,English,2007-08-08,2007-08-08,"Comedy,Family,Fantasy",/65jHHD1iBTR2gKzq0gxHWB0zoEb.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=15053,https://www.themoviedb.org/movie/27037
Care Bears: Oopsy Does It!,Care Bears: Oopsy Does It!,SD Entertainment,"CGCG Inc., The Hatchery",German,2007-08-04,2007-08-04,"Adventure,Family",/qErdoaKhALPXpqonVIZOEGCanKd.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=79384,https://www.themoviedb.org/movie/36007
Naruto Shippuden the Movie,劇場版 NARUTO -ナルト- 疾風伝,Studio Pierrot,,Japanese,2007-08-04,2007-08-04,"Action,Fantasy",/vDkct38sSFSWJIATlfJw0l3QOIR.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=82955,https://www.themoviedb.org/movie/20982
Summer Days with Coo,河童のクゥと夏休み,Shin-Ei Animation,"Oh! Production, Studio Cats, Jungle Gym",Japanese,2007-07-28,2007-07-28,"Comedy,Romance",/4Hk82Tw50Qevknz3qb8N7Nd5Ti3.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=81787,https://www.themoviedb.org/movie/17234
The Simpsons Movie,The Simpsons Movie,Gracie Films,"Film Roman, Rough Draft Studios, Rough Draft Korea, AKOM, Skywalker Sound",English,2007-07-25,2007-07-27,"Comedy,Family",/gzb6P78zeFTnv9eoFYnaJ2YrZ5q.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=22511,https://www.themoviedb.org/movie/35
Surf's Up,Surf's Up,Sony Pictures Animation,Sony Pictures Imageworks,English,2007-06-08,2007-06-08,"Comedy,Family",/tTDsCVlDA8QR4Dc6t6nERfwl5z.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=15028,https://www.themoviedb.org/movie/9408
Aqua Teen Hunger Force Colon Movie Film for Theaters,Aqua Teen Hunger Force Colon Movie Film for Theaters,Williams Street,Radical Axis,English,2007-04-13,2007-04-13,Comedy,/q3Ln4x4rv4nJsBBfukjvH2wiU28.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=22814,https://www.themoviedb.org/movie/13158
TMNT,TMNT,Imagi Animation Studios,"Reel FX, Weinstein Company, Margarita Mix",English,2007-03-23,2007-03-23,"Adventure,Comedy,Family",/6ZCWn7BGpDLBDigtdiuGyBdEqab.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=44841,https://www.themoviedb.org/movie/1273
My Little Pony: A Very Pony Place,My Little Pony: A Very Pony Place,SD Entertainment,,English,2007-02-06,2007-02-06,Other,/w5Gub5cqMCLO7qvZUV45Z0fveQc.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=80172,https://www.themoviedb.org/movie/290996
The Invincible Iron Man,The Invincible Iron Man,Marvel Animation,"Starbust Animation Co., Ltd.",English,2007-01-23,2007-01-23,"Action,Adventure,Fantasy,Science Fiction",/eebNTSRa5Hh5skPKGdGJIJpo9Ls.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=54059,https://www.themoviedb.org/movie/13647
Happily N'Ever After,Happily N'Ever After,Vanguard Animation,"Nitrogen Studios Canada, Bardel Entertainment Inc., Elliott Animation Inc., C.O.R.E. Feature Animation",English,2007-01-05,2007-01-05,"Adventure,Comedy,Family,Fantasy",/gOOlHRhdEoJbPNE1jpocNawjnc5.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=44840,https://www.themoviedb.org/movie/5393
Happy Feet,Happy Feet,Animal Logic,"Village Roadshow Pictures, Rhythm &amp; Hues",English,2006-11-16,2006-11-17,"Comedy,Family",/zP4CK9O70P8GDilfTkPm4lrmaks.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=41665,https://www.themoviedb.org/movie/9836
Franklin and the Turtle Lake Treasure,Franklin et le trésor du lac,Nelvana,"Digital eMation, Alphanim",French,2006-10-29,2006-12-20,"Family,Fantasy",/28DpvauJIlVLq6WHOXXjg9A0yWe.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=59924,https://www.themoviedb.org/movie/34466
Flushed Away,Flushed Away,Aardman,DreamWorks Animation,English,2006-10-22,2006-11-03,"Adventure,Comedy,Family",/78czzq4yOr3yN2znedu0kWyv2Um.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=24946,https://www.themoviedb.org/movie/11619
Tekkonkinkreet,鉄コン筋クリート,Studio 4°C,"Studio Ghibli, Production I.G, Gainax, Bones, Studio Deen, Doga Kobo, Anime Torotoro, Nakamura Production, P.A. Works, Studio Cats, Tatsunoko Production, Last House, Studio Live, Studio Easter, A-Line, Kagura, Studio Cockpit, Fan Out, Studio Mu, Dangun Pictures, Meruhen Company",Japanese,2006-10-21,2006-12-22,Thriller,/e2x1YDuZPpQiaQS25Ego7xMZYOI.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=55932,https://www.themoviedb.org/movie/13754
Casper's Scare School,Casper's Scare School,MoonScoop,Crest Animation,English,2006-10-20,2006-10-20,"Adventure,Comedy,Family,Fantasy",/qtp2bw9rokJ7OjG6o4JhvbpxcrA.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=65210,https://www.themoviedb.org/movie/31170
Open Season,Open Season,Sony Pictures Animation,Sony Pictures Imageworks,English,2006-09-27,2006-09-29,"Family,Adventure,Comedy",/w5Lctmkc1yah215Luxmci4djaiW.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=15027,https://www.themoviedb.org/movie/7484
Teen Titans: Trouble in Tokyo,Teen Titans: Trouble in Tokyo,Warner Bros. Television,"Dong Woo Animation Co., Ltd.",English,2006-09-15,2006-09-15,"Action,Science Fiction",/4wMlDE1HzkVyYeDKuY1oDOWQlN2.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=30633,https://www.themoviedb.org/movie/16237
Paprika,パプリカ,Madhouse,"Dr Movie, Production I.G, Oh! Production, Doga Kobo, Anime Torotoro",Japanese,2006-10-21,2006-11-25,"Drama,Mystery,Science Fiction,Thriller",/bLUUr474Go1DfeN1HLjE3rnZXBq.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=54878,https://www.themoviedb.org/movie/4977
Naruto the Movie: Guardians of the Crescent Moon Kingdom,劇場版 NARUTO -ナルト- 大興奮!みかづき島のアニマル騒動だってばよ,Studio Pierrot,,Japanese,2006-08-05,2006-08-05,"Adventure,Action",/uHOlbIt1s90TL3JHI3JXwBBQOP6.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=82954,https://www.themoviedb.org/movie/18861
Everyone's Hero,Everyone's Hero,IDT Entertainment,"Reel FX, Arc Productions Ltd.",English,2006-08-04,2006-09-15,"Adventure,Comedy,Family",/qFHXmKtS4GBoovYNTjtvUOgdRdE.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=45980,https://www.themoviedb.org/movie/15213
Barnyard,Barnyard,O Entertainment,Omation,English,2006-08-04,2006-08-04,"Comedy,Family",/vPu2TfokecRICi9ScwtHh41RM4i.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=34320,https://www.themoviedb.org/movie/9907
Tales from Earthsea,ゲド戦記,Studio Ghibli,"Madhouse, Dr Movie, Production I.G, Gainax, Oh! Production, Doga Kobo, Anime Torotoro, Nakamura Production, Ufotable, Tatsunoko Production, Studio Cockpit",Japanese,2006-07-29,2006-07-29,"Fantasy,Adventure",/y0VnJt4eRPMjA1hpJ8f1EFoVaSf.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=20696,https://www.themoviedb.org/movie/37933
The Girl Who Leapt Through Time,時をかける少女,Madhouse,"Dr Movie, J.C.Staff, Oh! Production, Asahi Production, Studio Elle",Japanese,2006-07-15,2006-07-15,"Fantasy,Drama,Science Fiction",/xHnlWM8BmqY419YUccYy2KC5Jqo.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=54540,https://www.themoviedb.org/movie/14069
Crayon Shin-chan: The Legend Called: Dance! Amigo!,クレヨンしんちゃん 伝説を呼ぶ 踊れ！アミーゴ！,Shin-Ei Animation,,Japanese,2006-04-15,2006-04-15,Comedy,/vjWBUrPshZiBHAEXR9mlMlVlbOZ.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=81808,https://www.themoviedb.org/movie/128883
The Adventures of Brer Rabbit,The Adventures of Brer Rabbit,Universal Cartoon Studios,Wang Film Productions,English,2006-03-21,2006-03-21,Family,/q8K6Ry03ZZq18ZTECkqpJBbizE3.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=36850,https://www.themoviedb.org/movie/37319
The Land Before Time XII: The Great Day of the Flyers,The Land Before Time XII: The Great Day of the Flyers,Universal Cartoon Studios,Wang Film Productions,English,2006-02-27,2006-12-06,"Family,Adventure",/tvJxoQCIwt2AO0svf1GQfS4OR47.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=43840,https://www.themoviedb.org/movie/31933
Ultimate Avengers: The Movie,Ultimate Avengers: The Movie,Marvel Animation,"Dong Woo Animation Co., Ltd.",English,2006-02-21,2006-02-21,"Action,Family,Adventure,Science Fiction",/fKQqZEDmvKMCXEQztvMJHGou9dO.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=54057,https://www.themoviedb.org/movie/14609
Curious George,Curious George,Universal Cartoon Studios,"Universal Cartoon Studios, Imagine Entertainment, Toon City, Inc., Sunwoo Entertainment, Wang Film Productions, Mercury Filmworks, Yowza! Animation",English,2006-02-10,2006-02-10,"Adventure,Comedy,Family",/aGHC2lVMJtCwH6L40K5QnMeNIds.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=44615,https://www.themoviedb.org/movie/9975
My Little Pony: The Princess Promenade,My Little Pony: The Princess Promenade,SD Entertainment,,English,2006-02-07,2006-02-07,"Family,Fantasy",/fkWv7OGHTZgLc6nUfPZIiLUzJ0r.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=80169,https://www.themoviedb.org/movie/19789
The Happy Elf,The Happy Elf,IDT Entertainment,,English,2005-12-02,2005-12-06,"Comedy,Family",/zNxaVZC5DsGd9yOaM7b0Pd4giff.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=73484,https://www.themoviedb.org/movie/13699
My Little Pony: A Very Minty Christmas,My Little Pony: A Very Minty Christmas,SD Entertainment,,English,2005-10-25,2005-10-25,Fantasy,/jaWZYoknYXnGfklomIUz94rZZgT.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=80170,https://www.themoviedb.org/movie/25396
Street Fighter Alpha: Generations,Street Fighter Alpha: Generations,APPP,,Japanese,2005-10-25,2005-10-25,Action,/z6amRu0MxrBz1I3oLJz6pkSveG9.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=80184,https://www.themoviedb.org/movie/16228
Tom and Jerry: The Fast and the Furry,Tom and Jerry: The Fast and the Furry,Warner Bros.,"Yearim Productions Co., Ltd., Hanho Heung-Up Co., Ltd., Hacienda Post, Studiopolis",English,2005-10-11,2005-10-11,"Comedy,Family",/4pQhh5bU1KcUeXqPOteWsCkNZPK.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=33405,https://www.themoviedb.org/movie/42246
Corpse Bride,Corpse Bride,Laika,,English,2005-09-12,2005-09-23,"Romance,Fantasy",/isb2Qow76GpqYmsSyfdMfsYAjts.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=24939,https://www.themoviedb.org/movie/3933
Empress Chung,왕후 심청,AKOM,,Korean,2005-08-12,2005-08-12,Other,/peUw7ibP2erQtDPJfjTIJ2Uktn1.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=82947,https://www.themoviedb.org/movie/413330
Final Fantasy VII: Advent Children,Final Fantasy VII: Advent Children,Visual Works,,Japanese,2005-07-14,2005-09-14,"Action,Adventure,Fantasy,Science Fiction",/pTIXM2yu8McSlcQVs1VjVSNC45x.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=76696,https://www.themoviedb.org/movie/647
One Man Band,One Man Band,Pixar,,English,2005-06-21,2005-06-06,"Comedy,Family",/nBBl8gWJvVppKqyY4ugdm3znZ9G.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=750,https://www.themoviedb.org/movie/13933
Scooby-Doo! in Where's My Mummy?,Scooby-Doo! in Where's My Mummy?,Warner Bros.,"Dong Woo Animation Co., Ltd., Salami Studios",English,2005-05-13,2005-12-13,"Mystery,Family,Adventure,Comedy,Fantasy",/svtAzhRb4ueCLXZX8r3whHrE5x3.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=44948,https://www.themoviedb.org/movie/20558
Crayon Shin-chan: The Legend Called Buri Buri 3 Minutes Charge,クレヨンしんちゃん 伝説を呼ぶブリブリ 3分ポッキリ大進撃,Shin-Ei Animation,,Japanese,2005-04-16,2005-04-16,Comedy,/nlDmt49FanBJqV1XvMi0K0wROA0.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=81806,https://www.themoviedb.org/movie/128881
Valiant,Valiant,Vanguard Animation,"Polygon Pictures, Inc.",English,2005-03-25,2005-08-19,"Family,Adventure,Comedy",/chtAKvXb897I2Pn8HOkV4TC5Jzz.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=41490,https://www.themoviedb.org/movie/14175
Candy Land: The Great Lollipop Adventure,Candy Land: The Great Lollipop Adventure,SD Entertainment,"Wang Film Productions, Hong Guang Animation, Advantage Audio",English,2005-03-08,2005-03-08,Family,,https://www.intanibase.com/iad_entries/entry.aspx?shortID=52824,https://www.themoviedb.org/movie/103430
Air: The Motion Picture,劇場版 AIR,Toei Animation,"J.C.Staff, Tezuka Productions, Studio Cats, Last House, M.S.J. Musashino Production, Kagura, Athens Art Studio, Yuhodo, Araki Production, Meruhen Company, Design Office Mecaman, Shindo Production, Sanko Production, Beijing Xie Le Art Co., Ltd., Anime R, Snowlight Staff",Japanese,2005-02-05,2005-02-05,"Romance,Fantasy",/869qSfiou8ZGBhOGrmAol48K9Vo.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=64843,https://www.themoviedb.org/movie/40728
The Magic Roundabout,The Magic Roundabout,Action Synthese,"France 2 Cinema, Canal+",English,2005-02-02,2005-02-11,Family,/qUUxGu8Oxtzk2VasR99Jqy74ogK.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=86411,https://www.themoviedb.org/movie/16455
The Land Before Time XI: Invasion of the Tinysauruses,The Land Before Time XI: Invasion of the Tinysauruses,Universal Cartoon Studios,Wang Film Productions,English,2005-01-11,2005-01-11,"Family,Fantasy,Adventure",/2HjewVsAHjizJTmJ8L69f5Qir12.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=43825,https://www.themoviedb.org/movie/24556
The SpongeBob SquarePants Movie,The SpongeBob SquarePants Movie,United Plankton Pictures,"Rough Draft Korea, Hacienda Post",English,2004-11-14,2004-11-19,"Family,Comedy,Fantasy,Adventure",/gjZD811kfY1ideNuBukcuCy8ocA.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=14548,https://www.themoviedb.org/movie/11836
Daffy Duck for President,Daffy Duck for President,Warner Bros.,"Yearim Productions Co., Ltd.",English,2004-11-01,2004-11-02,"Comedy,Family",/cYZGwB3HdGFL9EGGr3nPx1ZUySr.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=6654,https://www.themoviedb.org/movie/73450
Spookley the Square Pumpkin,Spookley the Square Pumpkin,Holiday Hill Farm,,English,2004-10-30,2004-10-19,Family,/zpT1hiWA2Z2PlAb2QvEjl6GubW8.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=91333,https://www.themoviedb.org/movie/54408
The Polar Express,The Polar Express,ImageMovers Digital,"Sony Pictures Imageworks, Skywalker Sound",English,2004-11-10,2004-11-10,"Adventure,Family,Fantasy",/eOoCzH0MqeGr2taUZO4SwG416PF.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=30142,https://www.themoviedb.org/movie/5255
Popeye's Voyage: The Quest for Pappy,Popeye's Voyage: The Quest for Pappy,Mainframe Entertainment,,English,2004-09-24,2004-11-09,Family,/tRdEPxruOtlMqMCcFmQ16dhve1N.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=43191,https://www.themoviedb.org/movie/59777
Howl's Moving Castle,ハウルの動く城,Studio Ghibli,"Madhouse, Production I.G, Oh! Production, Doga Kobo, Anime Torotoro, Nakamura Production, Studio Cockpit",Japanese,2004-09-09,2004-11-20,"Fantasy,Adventure",/6pZgH10jhpToPcf0uvyTCPFhWpI.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=20689,https://www.themoviedb.org/movie/4935
Naruto the Movie: Ninja Clash in the Land of Snow,劇場版 NARUTO 大活劇! 雪姫忍法帖だってばよ!!,Studio Pierrot,Anime Torotoro,Japanese,2004-08-21,2004-08-21,"Comedy,Action,Adventure",/imBsBkySpNJ4eXZxpRnbfSl2mwn.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=82952,https://www.themoviedb.org/movie/16907
Steamboy,スチームボーイ,Sunrise,"Madhouse, Studio 4°C, Dong Woo Animation Co., Ltd., Telecom Animation Film Co., Ltd., J.C.Staff, Production I.G, Bee Train, Inc., Kyoto Animation, Studio Deen, Tezuka Productions, Oh! Production, Doga Kobo, Nakamura Production, Tatsunoko Production, Studio Live, M.S.J. Musashino Production, Studio Cockpit, Studio Fantasia, Yuhodo, Tamazawa Dougasha",Japanese,2004-07-17,2004-07-17,"Fantasy,Science Fiction",/qYZUDELDUKYAhEw71ipeCtOFewc.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=55514,https://www.themoviedb.org/movie/8953
Scooby-Doo! and the Loch Ness Monster,Scooby-Doo! and the Loch Ness Monster,Warner Bros.,"Dong Woo Animation Co., Ltd., Advantage Audio",English,2004-05-20,2004-06-22,"Family,Adventure,Comedy,Fantasy,Mystery",/hmeJnofknkSnczzN3J7Wvfn7OGI.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=44949,https://www.themoviedb.org/movie/12902
Party Wagon,Party Wagon,Snee-Oosh,"Cartoon Network Studios, Sunwoo Entertainment, Saerom Animation, Inc.",English,2004-02-27,2004-02-27,Western,/qWOVV7IRNAhP8yVwlyDbAW8M7N5.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=24127,https://www.themoviedb.org/movie/584971
Clifford's Really Big Movie,Clifford's Really Big Movie,Mike Young Productions,"Starbust Animation Co., Ltd.",English,2004-02-20,2004-02-20,"Family,Adventure,Comedy",/cpaynGAqDjr0N5I92JEEqW0dpTl.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=70149,https://www.themoviedb.org/movie/19016
Dead Leaves,デッド　リーブス,Production I.G,"Gainax, APPP, Bones, Oh! Production, Studio Cockpit, Shindo Production",Japanese,2004-01-17,2004-01-16,"Comedy,Science Fiction",/67OOVuA5obEgvJNpRkEpcmGy8mL.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=55023,https://www.themoviedb.org/movie/15981
The Land Before Time X: The Great Longneck Migration,The Land Before Time X: The Great Longneck Migration,Universal Cartoon Studios,,English,2003-12-02,2003-12-02,"Adventure,Family",/lSwUyNrm4KaFwrM5ilY2ZWY5bEL.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=43666,https://www.themoviedb.org/movie/24554
Looney Tunes: Back in Action,Looney Tunes: Back in Action,Warner Bros.,"Mercury Filmworks, Yowza! Animation",English,2003-11-14,2003-11-14,"Comedy,Family",/q0kntpdsHA0QdYjpQdNBqrVTdQq.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=22361,https://www.themoviedb.org/movie/10715
I Want a Dog,I Want a Dog,National Film Board of Canada,,English,2003-10-25,2003-10-25,Other,/yvNrjTeSPo3RwRW6kKFhcreMVF6.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=61332,https://www.themoviedb.org/movie/363910
Scary Godmother: Halloween Spooktakular,Scary Godmother: Halloween Spooktakular,Mainframe Entertainment,,English,2003-10-22,2003-10-31,"Family,Comedy",/dmmL7DZmCVM5ORsgI4HHj5B6soY.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=59762,https://www.themoviedb.org/movie/48567
Batman: Mystery of the Batwoman,Batman: Mystery of the Batwoman,Warner Bros.,,English,2003-10-21,2003-10-21,"Adventure,Fantasy,Action,Science Fiction",/mlmhpUArJdpRPO211v3lETe3uzg.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=44950,https://www.themoviedb.org/movie/21683
Scooby-Doo! and the Monster of Mexico,Scooby-Doo! and the Monster of Mexico,Warner Bros.,"Wang Film Productions, ""Cuckoos Nest Studio"", Hacienda Post",English,2003-09-30,2003-09-30,"Comedy,Family,Mystery",/fv4e6pGhl4fDUdRt2WIDLDgEq7e.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=44951,https://www.themoviedb.org/movie/21956
Tokyo Godfathers,東京ゴッドファーザーズ,Madhouse,,Japanese,2003-12-05,2003-11-08,"Drama,Comedy",/sPC66btzQlzuRdPKiSDYZ5Hvxgc.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=54879,https://www.themoviedb.org/movie/13398
Early Bloomer,Early Bloomer,Sony Pictures Animation,,English,2003-05-15,2003-05-09,Other,/qAbETqTvGZWKf6TppCybu2giFXC.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=48164,https://www.themoviedb.org/movie/209511
The Animatrix,The Animatrix,Warner Bros.,,English,2003-05-09,2003-06-03,Science Fiction,/g52SOsTvdjzY8oPIn5znLJMzLHG.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=87128,https://www.themoviedb.org/movie/55931
Private Eye Princess,Private Eye Princess,"Pharoh Films, Inc.",Sunwoo Entertainment,English,2002-11-29,2002-11-29,"Mystery,Comedy,Family",/5FcoKWRpwXNeVPshLJVUuzrg0L3.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=39656,https://www.themoviedb.org/movie/483050
Eight Crazy Nights,Eight Crazy Nights,Meatball Animation,"Spaff Animation, Bardel Entertainment Inc., Yowza! Animation, Goldenbell Animation, Tama Production Co. Ltd., YR Studio",English,2002-11-27,2002-11-27,Comedy,/pfQrbZxTv4BVf1XRQnCngZ3wQg8.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=48099,https://www.themoviedb.org/movie/13376
Rapsittie Street Kids: Believe in Santa,Rapsittie Street Kids: Believe in Santa,Wolf Tracer Studios,,English,2002-11-25,2002-12-07,Family,/r5W1vFfqqscXYvVzr9WK6LG5C0v.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=79744,https://www.themoviedb.org/movie/413817
The Cat Returns,猫の恩返し,Studio Ghibli,"Anime Torotoro, Studio Cockpit",Japanese,2002-07-19,2002-07-19,"Adventure,Fantasy,Drama,Family",/pqyY7IEWkCWNZ7EuRStQaJITEta.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=20695,https://www.themoviedb.org/movie/15370
