title,original_title,studio,associate_studios,original_language,tmdb_release_date,IAD_release_date,genres,poster_path,IAD_link,tmdbUrl
The Lego Batman Movie,The Lego Batman Movie,Warner Animation Group,Animal Logic,English,2017-02-08,2017-02-10,"Action,Comedy,Family",/snGwr2gag4Fcgx2OGmH9otl6ofW.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=38896,https://www.themoviedb.org/movie/324849
Gunter Babysits,Gunter Babysits,Illumination Entertainment,Illumination Mac Guff,English,2017-01-27,2017-03-21,Comedy,/pi3y5TLuOETGnMqUfI1ebxyXmiJ.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=51004,https://www.themoviedb.org/movie/448450
Black Butler: Book of the Atlantic,黒執事 Book of the Atlantic,A-1 Pictures,"A-Real, China Alnwick, Triple A, Studio Luna, Ace Company, Jumondo, Graphinica, Reverse Image Creation (RIC), Rising Force",Japanese,2017-01-21,2017-01-21,"Action,Comedy,Fantasy",/4jU2Bdk1MB2OvP4BBvTJIPQc0BF.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=79396,https://www.themoviedb.org/movie/432131
Surf's Up 2: WaveMania,Surf's Up 2: WaveMania,Sony Pictures Animation,"Sony Pictures Animation, WWE, Rainmaker Entertainment",English,2017-02-03,2017-01-17,"Family,Comedy",/wdSX8enQ5uEvNLQ3yXTnAVGtrCy.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=44880,https://www.themoviedb.org/movie/411840
Albert,Albert,Nickelodeon,Bardel Entertainment Inc.,English,2016-12-10,2016-12-09,Family,/6hEXYAJ88eQZFN3niaBsjn52os9.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=39660,https://www.themoviedb.org/movie/429657
Norman Television,Norman Television,Illumination Entertainment,Illumination Mac Guff,English,2016-12-06,2016-12-06,Other,/8Sf8jOe7J4Crfa58eSXPeJx6pHY.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=51002,https://www.themoviedb.org/movie/424889
Weenie,Weenie,Illumination Entertainment,Illumination Mac Guff,English,2016-12-06,2016-12-06,Other,/ogZv4hEFBO7pupCYbX1kyabha1i.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=51003,https://www.themoviedb.org/movie/424873
Orange: Future,orange -未来-,TMS Entertainment,,Japanese,2016-11-18,2016-11-18,"Drama,Romance,Science Fiction",/s6jYHlRCVMyLhceipAD6oHokish.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=86099,https://www.themoviedb.org/movie/419094
Alpha and Omega: The Big Fureeze,Alpha and Omega: The Big Fureeze,Splash Entertainment,,English,2016-10-31,2016-11-08,Family,/hDyRA2qPS9iR2elCxjOsQFnGYGs.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=56802,https://www.themoviedb.org/movie/424105
In This Corner of the World,この世界の片隅に,MAPPA,"Madhouse, Studio 4°C, Dr Movie, J.C.Staff, Production I.G, Studio Pierrot, Oh! Production, A-1 Pictures, Doga Kobo, Anime Torotoro, P.A. Works, M.S.J. Musashino Production, Anitus Kobe, Kagura, Xenlon, Studio Elle, Triple A, Hebaraki, Studio Wyeth, Silver Link, Kinema Citrus",Japanese,2016-11-12,2016-11-12,"Drama,Romance",/9Z4H4M2F8OQTB04YC1Opds8MFBb.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=55558,https://www.themoviedb.org/movie/378108
Hulk: Where Monsters Dwell,Hulk: Where Monsters Dwell,Marvel Animation,"Lotto Animation, Atomic Cartoons",English,2016-10-21,2016-10-21,"Action,Fantasy,Science Fiction",/luT68rZr9wtrvn22VnRl82dkWTY.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=57345,https://www.themoviedb.org/movie/422153
L.O.R.D: Legend of Ravaging Dynasties,爵迹,Original Force Animation,,Chinese,2016-09-29,2016-09-30,"Fantasy,Drama,Science Fiction",/qIUDi1XDAREkarkwNzOOBgUzqyC.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=83185,https://www.themoviedb.org/movie/369552
Storks,Storks,Warner Animation Group,Sony Pictures Imageworks,English,2016-09-22,2016-09-23,"Adventure,Comedy,Family",/ylXKcKrEHSQEYLntBvYxGBI7Ld3.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=38640,https://www.themoviedb.org/movie/332210
Sing,Sing,Illumination Entertainment,Illumination Mac Guff,English,2016-11-23,2016-12-21,"Comedy,Family",/zZTlF2eVVUkbdmccd3bNUU9T9sD.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=39785,https://www.themoviedb.org/movie/335797
"The Swan Princess: Princess Tomorrow, Pirate Today!","The Swan Princess: Princess Tomorrow, Pirate Today!",StreetLight Animation,,English,2016-09-06,2016-09-06,"Family,Comedy,Adventure",/spJNyS924musoF3Sek7LX9eLBtU.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=56806,https://www.themoviedb.org/movie/414223
Kubo and the Two Strings,Kubo and the Two Strings,Laika,,English,2016-08-18,2016-08-19,"Adventure,Family",/la6QA9tk4Foq8OBH2Dyh5dTcw6H.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=38388,https://www.themoviedb.org/movie/313297
Rudolf the Black Cat,ルドルフとイッパイアッテナ,"OLM, Inc.",,Japanese,2016-08-06,2016-08-06,"Comedy,Adventure",/54qg3GgKYUM8vdFSUbkdrNo7czt.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=89430,https://www.themoviedb.org/movie/429005
Accel World: Infinite Burst,アクセル・ワールド INFINITE∞BURST,Sunrise,"Studio Khara, OFFICE DCI, Studio Zaendou, Anime R, Rising Force",Japanese,2016-07-23,2016-07-23,"Science Fiction,Action",/xyya6A2M4gxFdw0bhhlOdU5kw3N.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=80654,https://www.themoviedb.org/movie/381873
Kingsglaive: Final Fantasy XV,キングスグレイブ ファイナルファンタジーXV,Visual Works,,Japanese,2016-07-09,2016-07-09,"Science Fiction,Action",/xGMgspge6uYoypRiasAmlluDlXH.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=76697,https://www.themoviedb.org/movie/390734
Mower Minions,Mower Minions,Illumination Entertainment,Illumination Mac Guff,English,2016-07-08,2016-07-08,Comedy,/oKVtq8SvLaybXC9oofod4uLRfyW.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=51001,https://www.themoviedb.org/movie/403052
The Secret Life of Pets,The Secret Life of Pets,Illumination Entertainment,"Illumination Mac Guff, Skywalker Sound",English,2016-06-18,2016-07-08,"Adventure,Comedy,Family",/g3Hms6AE174doeGR1gz5zX5sVsv.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=37870,https://www.themoviedb.org/movie/328111
Piper,Piper,Pixar,,English,2016-06-16,2016-06-17,Family,/rfEkkVzmrMYqGezNLl02mVyJCP2.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=37233,https://www.themoviedb.org/movie/399106
Alpha and Omega: Dino Digs,Alpha and Omega: Dino Digs,Splash Entertainment,,English,2016-05-10,2016-05-10,"Family,Comedy,Fantasy",/1EGFzidJAvgmcTqDz6aCMVpFxDg.jpg,https://www.intanibase.com/iad_entries/entry.aspx?shortID=56801,https://www.themoviedb.org/movie/397127
