movieId,minute,neutral,positive,negative
5013056,87,15,7,0
5013056,88,25,8,1
5013056,89,32,0,9
5013056,90,22,4,0
5013056,91,13,0,5
5013056,92,19,16,0
5013056,93,39,2,3
5013056,94,9,0,0
5013056,95,46,0,3
5013056,96,35,8,6
5013056,97,30,0,0
5013056,98,104,17,1
209144,2,60,0,0
209144,3,48,26,9
209144,4,52,0,8
209144,5,74,14,2
209144,6,121,13,1
209144,7,14,0,0
209144,8,156,13,11
209144,9,98,43,3
209144,10,145,9,0
209144,11,34,12,3
209144,12,12,0,0
209144,13,31,3,0
209144,14,15,0,0
209144,15,2,0,5
209144,16,97,16,0
209144,17,61,15,5
209144,18,127,22,0
209144,19,81,20,1
209144,20,88,0,0
209144,21,54,7,2
209144,22,121,4,7
209144,23,153,10,7
209144,24,96,0,22
209144,25,84,0,19
209144,26,82,9,21
209144,27,166,2,7
209144,28,72,0,11
209144,29,41,20,0
209144,30,57,24,0
209144,31,86,0,2
209144,32,70,0,12
209144,33,93,66,23
209144,34,76,20,2
209144,35,54,0,9
209144,36,68,7,4
209144,37,56,0,0
209144,38,5,0,0
209144,39,82,7,16
209144,40,53,0,3
209144,41,44,10,10
209144,42,88,0,20
209144,43,106,28,41
209144,44,8,0,56
209144,45,134,19,16
209144,46,0,4,0
209144,47,19,1,2
209144,48,46,20,1
209144,49,21,5,0
209144,50,8,0,11
209144,51,2,0,4
209144,52,10,4,3
209144,53,26,11,3
209144,55,16,39,4
209144,56,45,1,0
209144,57,111,0,11
209144,58,4,11,0
209144,59,81,6,6
209144,60,6,0,0
209144,61,81,4,2
209144,62,99,5,0
209144,63,171,12,0
209144,64,91,8,8
209144,65,114,6,21
209144,66,159,10,5
209144,67,97,27,12
209144,68,111,8,0
209144,69,37,3,10
209144,70,52,19,30
209144,71,109,1,17
209144,72,27,5,27
209144,73,76,4,8
209144,74,150,45,26
209144,75,95,5,61
209144,76,92,8,1
209144,77,65,11,24
209144,78,95,1,13
209144,79,35,0,0
209144,80,126,8,21
209144,81,15,0,0
209144,82,10,15,6
209144,83,80,9,0
209144,84,153,27,1
209144,85,56,15,0
209144,86,37,18,31
209144,87,88,9,0
209144,88,29,3,0
209144,89,84,0,40
209144,90,101,0,0
209144,91,132,5,41
209144,92,70,0,16
209144,93,24,2,1
209144,94,39,9,0
209144,95,44,6,2
209144,96,10,0,0
209144,97,12,8,10
209144,98,92,11,9
209144,100,10,0,2
209144,101,90,9,62
209144,102,143,26,25
209144,103,92,12,16
209144,104,138,6,35
209144,105,74,29,36
209144,106,127,2,25
209144,107,30,0,5
209144,108,47,20,23
209144,109,54,13,0
209144,110,13,0,4
6723592,1,1,0,0
6723592,2,6,0,0
6723592,3,37,7,6
6723592,4,22,5,0
6723592,5,59,7,5
6723592,6,31,12,5
6723592,7,22,5,3
6723592,8,29,4,6
6723592,9,36,5,24
6723592,10,58,3,0
6723592,12,16,0,0
6723592,13,66,6,14
6723592,14,82,0,4
6723592,15,87,5,6
6723592,16,151,9,0
6723592,17,64,5,11
6723592,18,90,15,5
6723592,19,26,6,8
6723592,20,16,0,0
6723592,21,124,8,10
6723592,22,147,13,0
6723592,23,54,23,0
6723592,24,111,27,11
6723592,25,139,15,0
6723592,26,63,16,3
6723592,27,51,18,0
6723592,28,166,17,11
6723592,29,76,18,8
6723592,30,84,38,17
6723592,31,62,30,18
6723592,32,17,1,0
6723592,33,36,9,0
6723592,34,144,11,5
6723592,35,90,11,8
6723592,36,135,8,6
6723592,37,116,13,36
6723592,38,77,0,0
6723592,39,49,11,0
6723592,40,13,0,0
6723592,41,6,0,0
6723592,42,7,0,0
6723592,43,6,0,0
6723592,44,7,5,4
6723592,47,29,7,7
6723592,48,122,11,18
6723592,49,102,9,4
6723592,50,80,11,27
6723592,51,155,12,18
6723592,52,35,9,7
